Ticker,InvName,B3Name,nosName1,EDJ,nosName
ABCB4,ABC BRASIL PN,ABC BRASIL PN N2,ABCBRASILPNN2,ABCBRASILPNEDJN2,ABCBRASILPNN
AGRO3,BRASILAGRO ON,BRASILAGRO ON NM,BRASILAGROONNM,BRASILAGROONEDJNM,BRASILAGROONN
RAIL3,RUMO ON NM,RUMO S.A. ON NM,RUMOS.A.ONNM,RUMOS.A.ONEDJNM,RUMOS.A.ONN
ALPA3,ALPARGATAS ON,ALPARGATAS ON N1,ALPARGATASONN1,ALPARGATASONEDJN1,ALPARGATASONN
ALPA4,ALPARGATAS PN,ALPARGATAS PN N1,ALPARGATASPNN1,ALPARGATASPNEDJN1,ALPARGATASPNN
ALSO3,Aliansce Sonae,ALIANSCSONAEON NM,ALIANSCSONAEONNM,ALIANSCSONAEONEDJNM,ALIANSCSONAEONN
AMAR3,LOJAS MARISA ON,LOJAS MARISAON NM,LOJASMARISAONNM,LOJASMARISAONEDJNM,LOJASMARISAONN
ABEV3,AMBEV S/A ON,AMBEV S/A ON,AMBEVS/AON,AMBEVS/AEDJON,AMBEVS/AN
ADHM3,Advanced Digital Health,"ADVANCED,DH ON","ADVANCED,DHON","ADVANCED,DHEDJON","ADVANCED,DHN"
ARZZ3,AREZZO CO ON,AREZZO CO ON NM,AREZZOCOONNM,AREZZOCOONEDJNM,AREZZOCOONN
BBAS3,BRASIL ON,BRASIL ON NM,BRASILONNM,BRASILONEDJNM,BRASILONN
BBDC3,BRADESCO ON,BRADESCO ON N1,BRADESCOONN1,BRADESCOONEDJN1,BRADESCOONN
BBDC4,BRADESCO PN EJ N1,BRADESCO PN N1,BRADESCOPNN1,BRADESCOPNEDJN1,BRADESCOPNN
BBRK3,BR BROKERS ON,BR BROKERS ON NM,BRBROKERSONNM,BRBROKERSONEDJNM,BRBROKERSONN
BEEF3,MINERVA ON,MINERVA ON NM,MINERVAONNM,MINERVAONEDJNM,MINERVAONN
BPAN4,BANCO PAN SA PN,BANCO PAN PN N1,BANCOPANPNN1,BANCOPANPNEDJN1,BANCOPANPNN
BRAP3,BRADESPAR ON,BRADESPAR ON N1,BRADESPARONN1,BRADESPARONEDJN1,BRADESPARONN
BRAP4,BRADESPAR PN,BRADESPAR PN N1,BRADESPARPNN1,BRADESPARPNEDJN1,BRADESPARPNN
BRFS3,BRF SA ON,BRF SA ON NM,BRFSAONNM,BRFSAONEDJNM,BRFSAONN
APER3,BR Insurance Corretora,ALPER S.A. ON NM,ALPERS.A.ONNM,ALPERS.A.ONEDJNM,ALPERS.A.ONN
BRKM3,BRASKEM ON,BRASKEM ON N1,BRASKEMONN1,BRASKEMONEDJN1,BRASKEMONN
BRKM5,BRASKEM PNA,BRASKEM PNA N1,BRASKEMPNAN1,BRASKEMPNAEDJN1,BRASKEMPNAN
BRML3,BR MALLS PAR ON,BR MALLS PARON NM,BRMALLSPARONNM,BRMALLSPARONEDJNM,BRMALLSPARONN
BRPR3,BR PROPERT ON,BR PROPERT ON NM,BRPROPERTONNM,BRPROPERTONEDJNM,BRPROPERTONN
BRSR6,BANRISUL PNB,BANRISUL PNB N1,BANRISULPNBN1,BANRISULPNBEDJN1,BANRISULPNBN
OIBR3,OI ON N1,OI ON N1,OIONN1,OIONEDJN1,OIONN
OIBR4,OI PN,OI PN N1,OIPNN1,OIPNEDJN1,OIPNN
BTOW3,B2W DIGITAL ON,B2W DIGITAL ON NM,B2WDIGITALONNM,B2WDIGITALONEDJNM,B2WDIGITALONN
B3SA3,B3 SA Brasil Bolsa Balcao,B3 ON NM,B3ONNM,B3ONEDJNM,B3ONN
CARD3,CSU CARDSYST ON,CSU CARDSYSTON NM,CSUCARDSYSTONNM,CSUCARDSYSTONEDJNM,CSUCARDSYSTONN
CCPR3,CYRE COM-CCP ON,CYRE COM-CCPON NM,CYRECOM-CCPONNM,CYRECOM-CCPONEDJNM,CYRECOM-CCPONN
CCRO3,CCR SA ON,CCR SA ON NM,CCRSAONNM,CCRSAONEDJNM,CCRSAONN
CEDO4,CEDRO PN,CEDRO PN N1,CEDROPNN1,CEDROPNEDJN1,CEDROPNN
CEED3,CEEE-D ON,CEEE-D ON N1,CEEE-DONN1,CEEE-DONEDJN1,CEEE-DONN
CESP6,CESP PNB,CESP PNB N1,CESPPNBN1,CESPPNBEDJN1,CESPPNBN
CGAS5,COMGAS PNA,COMGAS PNA,COMGASPNA,COMGASPEDJNA,COMGASPN
CGRA4,GRAZZIOTIN PN,GRAZZIOTIN PN,GRAZZIOTINPN,GRAZZIOTINEDJPN,GRAZZIOTINN
CIEL3,CIELO ON,CIELO ON NM,CIELOONNM,CIELOONEDJNM,CIELOONN
CMIG3,CEMIG ON,CEMIG ON N1,CEMIGONN1,CEMIGONEDJN1,CEMIGONN
CMIG4,CEMIG PN,CEMIG PN N1,CEMIGPNN1,CEMIGPNEDJN1,CEMIGPNN
COCE5,COELCE PNA,COELCE PNA,COELCEPNA,COELCEPEDJNA,COELCEPN
CPFE3,CPFL ENERGIAON NM,CPFL ENERGIAON NM,CPFLENERGIAONNM,CPFLENERGIAONEDJNM,CPFLENERGIAONN
CPLE3,COPEL ON,COPEL ON N1,COPELONN1,COPELONEDJN1,COPELONN
CPLE6,COPEL PNB,COPEL PNB N1,COPELPNBN1,COPELPNBEDJN1,COPELPNBN
CRDE3,CR2 ON,CR2 ON,CR2ON,CR2EDJON,CR2N
CSAN3,COSAN ON,COSAN ON NM,COSANONNM,COSANONEDJNM,COSANONN
CSMG3,COPASA ON,COPASA ON NM,COPASAONNM,COPASAONEDJNM,COPASAONN
CSNA3,SID NACIONAL ON,SID NACIONALON,SIDNACIONALON,SIDNACIONALEDJON,SIDNACIONALN
CTNM4,COTEMINAS PN,COTEMINAS PN,COTEMINASPN,COTEMINASEDJPN,COTEMINASN
CYRE3,CYRELA REALT ON,CYRELA REALTON NM,CYRELAREALTONNM,CYRELAREALTONEDJNM,CYRELAREALTONN
DASA3,DASA ON,DASA ON,DASAON,DASAEDJON,DASAN
DIRR3,DIRECIONAL ON,DIRECIONAL ON NM,DIRECIONALONNM,DIRECIONALONEDJNM,DIRECIONALONN
DTEX3,DURATEX ON,DURATEX ON NM,DURATEXONNM,DURATEXONEDJNM,DURATEXONN
ECOR3,ECORODOVIAS ON,ECORODOVIAS ON NM,ECORODOVIASONNM,ECORODOVIASONEDJNM,ECORODOVIASONN
EEEL3,CEEE-GT ON,CEEE-GT ON N1,CEEE-GTONN1,CEEE-GTONEDJN1,CEEE-GTONN
ELET3,ELETROBRAS ON,ELETROBRAS ON N1,ELETROBRASONN1,ELETROBRASONEDJN1,ELETROBRASONN
ELET6,ELETROBRAS PNB,ELETROBRAS PNB N1,ELETROBRASPNBN1,ELETROBRASPNBEDJN1,ELETROBRASPNBN
EMBR3,EMBRAER ON,EMBRAER ON NM,EMBRAERONNM,EMBRAERONEDJNM,EMBRAERONN
ENBR3,ENERGIAS BR ON,ENERGIAS BR ON NM,ENERGIASBRONNM,ENERGIASBRONEDJNM,ENERGIASBRONN
ENGI4,ENERGISA PN,ENERGISA PN N2,ENERGISAPNN2,ENERGISAPNEDJN2,ENERGISAPNN
EQTL3,EQUATORIAL ON,EQUATORIAL ON NM,EQUATORIALONNM,EQUATORIALONEDJNM,EQUATORIALONN
YDUQ3,YDUQS Part ON,YDUQS PART ON NM,YDUQSPARTONNM,YDUQSPARTONEDJNM,YDUQSPARTONN
ETER3,ETERNIT ON,ETERNIT ON NM,ETERNITONNM,ETERNITONEDJNM,ETERNITONN
