Ticker,InvName,B3Name,nosName
ABCB4,ABC BRASIL PN,ABC BRASIL PN N2,ABCBRASILPNN2
AGRO3,BRASILAGRO ON,BRASILAGRO ON NM,BRASILAGROONNM
RAIL3,RUMO ON NM,RUMO S.A. ON NM,RUMOS.A.ONNM
ALPA3,ALPARGATAS ON,ALPARGATAS ON N1,ALPARGATASONN1
ALPA4,ALPARGATAS PN,ALPARGATAS PN N1,ALPARGATASPNN1
ALSO3,Aliansce Sonae,ALIANSCSONAEON NM,ALIANSCSONAEONNM
AMAR3,LOJAS MARISA ON,LOJAS MARISAON NM,LOJASMARISAONNM
ABEV3,AMBEV S/A ON,AMBEV S/A ON,AMBEVS/AON
ADHM3,Advanced Digital Health,"ADVANCED,DH ON","ADVANCED,DHON"
ARZZ3,AREZZO CO ON,AREZZO CO ON NM,AREZZOCOONNM
BBAS3,BRASIL ON,BRASIL ON NM,BRASILONNM
BBAS3,BRASIL ON EJ NM,BRASIL ON EJNM,BRASILONEJNM
BBDC3,BRADESCO ON,BRADESCO ON N1,BRADESCOONN1
BBDC4,BRADESCO PN EJ N1,BRADESCO PN N1,BRADESCOPNN1
BBRK3,BR BROKERS ON,BR BROKERS ON NM,BRBROKERSONNM
BEEF3,MINERVA ON,MINERVA ON NM,MINERVAONNM
BOAS3,BOAVISTA ON NM,BOAVISTA ON N1,BOAVISTAONNM
BPAN4,BANCO PAN SA PN,BANCO PAN PN N1,BANCOPANPNN1
BRAP3,BRADESPAR ON,BRADESPAR ON N1,BRADESPARONN1
BRAP4,BRADESPAR PN,BRADESPAR PN N1,BRADESPARPNN1
BRFS3,BRF SA ON,BRF SA ON NM,BRFSAONNM
APER3,BR Insurance Corretora,ALPER S.A. ON NM,ALPERS.A.ONNM
BRKM3,BRASKEM ON,BRASKEM ON N1,BRASKEMONN1
BRKM5,BRASKEM PNA,BRASKEM PNA N1,BRASKEMPNAN1
BRML3,BR MALLS PAR ON,BR MALLS PARON NM,BRMALLSPARONNM
BRPR3,BR PROPERT ON,BR PROPERT ON NM,BRPROPERTONNM
BRSR6,BANRISUL PNB,BANRISUL PNB N1,BANRISULPNBN1
OIBR3,OI ON N1,OI ON N1,OIONN1
OIBR4,OI PN,OI PN N1,OIPNN1
BTOW3,B2W DIGITAL ON,B2W DIGITAL ON NM,B2WDIGITALONNM
B3SA3,B3 SA Brasil Bolsa Balcao,B3 ON NM,B3ONNM
CARD3,CSU CARDSYST ON,CSU CARDSYSTON NM,CSUCARDSYSTONNM
CCPR3,CYRE COM-CCP ON,CYRE COM-CCPON NM,CYRECOM-CCPONNM
CCRO3,CCR SA ON,CCR SA ON NM,CCRSAONNM
CEDO4,CEDRO PN,CEDRO PN N1,CEDROPNN1
CEED3,CEEE-D ON,CEEE-D ON N1,CEEE-DONN1
CESP6,CESP PNB,CESP PNB N1,CESPPNBN1
CGAS5,COMGAS PNA,COMGAS PNA,COMGASPNA
CGRA4,GRAZZIOTIN PN,GRAZZIOTIN PN,GRAZZIOTINPN
CIEL3,CIELO ON,CIELO ON NM,CIELOONNM
CMIG3,CEMIG ON,CEMIG ON N1,CEMIGONN1
CMIG4,CEMIG PN,CEMIG PN N1,CEMIGPNN1
COCE5,COELCE PNA,COELCE PNA,COELCEPNA
CPFE3,CPFL ENERGIAON NM,CPFL ENERGIAON NM,CPFLENERGIAONNM
CPLE3,COPEL ON,COPEL ON N1,COPELONN1
CPLE6,COPEL PNB,COPEL PNB N1,COPELPNBN1
CRDE3,CR2 ON,CR2 ON,CR2ON
CSAN3,COSAN ON,COSAN ON NM,COSANONNM
CSMG3,COPASA ON,COPASA ON NM,COPASAONNM
CSNA3,SID NACIONAL ON,SID NACIONALON,SIDNACIONALON
CTNM4,COTEMINAS PN,COTEMINAS PN,COTEMINASPN
CYRE3,CYRELA REALT ON,CYRELA REALTON NM,CYRELAREALTONNM
DASA3,DASA ON,DASA ON,DASAON
DIRR3,DIRECIONAL ON,DIRECIONAL ON NM,DIRECIONALONNM
DTEX3,DURATEX ON,DURATEX ON NM,DURATEXONNM
ECOR3,ECORODOVIAS ON,ECORODOVIAS ON NM,ECORODOVIASONNM
EEEL3,CEEE-GT ON,CEEE-GT ON N1,CEEE-GTONN1
ELET3,ELETROBRAS ON,ELETROBRAS ON N1,ELETROBRASONN1
ELET6,ELETROBRAS PNB,ELETROBRAS PNB N1,ELETROBRASPNBN1
EMBR3,EMBRAER ON,EMBRAER ON NM,EMBRAERONNM
ENBR3,ENERGIAS BR ON,ENERGIAS BR ON NM,ENERGIASBRONNM
ENGI4,ENERGISA PN,ENERGISA PN N2,ENERGISAPNN2
EQTL3,EQUATORIAL ON,EQUATORIAL ON NM,EQUATORIALONNM
YDUQ3,YDUQS Part ON,YDUQS PART ON NM,YDUQSPARTONNM
ETER3,ETERNIT ON,ETERNIT ON NM,ETERNITONNM
EUCA4,EUCATEX PN,EUCATEX PN N1,EUCATEXPNN1
EVEN3,EVEN ON,EVEN ON NM,EVENONNM
EZTC3,EZTEC ON,EZTEC ON NM,EZTECONNM
FESA4,FERBASA PN,FERBASA PN N1,FERBASAPNN1
FHER3,FER HERINGER ON,FER HERINGERON NM,FERHERINGERONNM
TASA4,Taurus Armas PN,TAURUS ARMASPN N2,TAURUSARMASPNN2
FLRY3,FLEURY ON,FLEURY ON NM,FLEURYONNM
FRIO3,METALFRIO ON,METALFRIO ON NM,METALFRIOONNM
TIET3,AES TIETE E ON N2,AES TIETE E ON N2,AESTIETEEONN2
TIET4,AES TIETE E PN N2,AES TIETE E PN N2,AESTIETEEPNN2
GFSA3,GAFISA ON,GAFISA ON NM,GAFISAONNM
GGBR3,GERDAU ON,GERDAU ON N1,GERDAUONN1
GGBR4,GERDAU PN N1,GERDAU PN N1,GERDAUPNN1
GOAU3,GERDAU MET ON,GERDAU MET ON N1,GERDAUMETONN1
GOAU4,GERDAU MET PN,GERDAU MET PN N1,GERDAUMETPNN1
GOLL4,GOL PN N2,GOL PN N2,GOLPNN2
GRND3,GRENDENE ON,GRENDENE ON NM,GRENDENEONNM
GSHP3,GENERALSHOPP ON,GENERALSHOPPON NM,GENERALSHOPPONNM
HBOR3,HELBOR ON,HELBOR ON NM,HELBORONNM
HGTX3,CIA HERING ON,CIA HERING ON NM,CIAHERINGONNM
PRIO3,PETRORIO ON NM,PETRORIO ON NM,PETRORIOONNM
HYPE3,HYPERMARCAS ON,HYPERA ON NM,HYPERAONNM
IDVL4,INDUSVAL PN,INDUSVAL PN,INDUSVALPN
IGTA3,IGUATEMI ON,IGUATEMI ON NM,IGUATEMIONNM
MEAL3,International Meal Company,IMC S/A ON NM,IMCS/AONNM
INEP3,INEPAR ON,INEPAR ON,INEPARON
INEP4,INEPAR PN,INEPAR PN,INEPARPN
ITSA3,ITAUSA ON,ITAUSA ON N1,ITAUSAONN1
ITSA4,ITAUSA PN,ITAUSA PN N1,ITAUSAPNN1
ITUB3,ITAUUNIBANCO ON,ITAUUNIBANCOON N1,ITAUUNIBANCOONN1
ITUB4,ITAUUNIBANCOPN EB N1,ITAUUNIBANCOPN N1,ITAUUNIBANCOPNN1
ITUB4,ITAUUNIBANCO PN ED N1,ITAUUNIBANCO PNED N1,ITAUUNIBANCOPNEDN1
JBSS3,JBS ON,JBS ON NM,JBSONNM
JFEN3,JOAO FORTES ON,JOAO FORTES ON,JOAOFORTESON
JHSF3,JHSF PART ON,JHSF PART ON NM,JHSFPARTONNM
JSLG3,JSL ON,JSL ON NM,JSLONNM
KEPL3,KEPLER WEBER ON,KEPLER WEBERON,KEPLERWEBERON
KLBN4,KLABIN S/A PN,KLABIN S/A PN N2,KLABINS/APNN2
LAME3,LOJAS AMERIC ON,LOJAS AMERICON N1,LOJASAMERICONN1
LAME4,LOJAS AMERIC PN,LOJAS AMERICPN N1,LOJASAMERICPNN1
LEVE3,METAL LEVE ON,METAL LEVE ON NM,METALLEVEONNM
LIGT3,LIGHT S/A ON,LIGHT S/A ON NM,LIGHTS/AONNM
LLIS3,LE LIS BLANC ON,LE LIS BLANCON NM,LELISBLANCONNM
LOGN3,LOG-IN ON,LOG-IN ON NM,LOG-INONNM
LPSB3,LOPES BRASIL ON,LOPES BRASILON NM,LOPESBRASILONNM
LREN3,LOJAS RENNER ON,LOJAS RENNERON NM,LOJASRENNERONNM
LUPA3,LUPATECH ON,LUPATECH ON NM,LUPATECHONNM
MDIA3,M.DIASBRANCO ON,M.DIASBRANCOON NM,M.DIASBRANCOONNM
MGEL4,MANGELS INDL PN,MANGELS INDLPN,MANGELSINDLPN
MGLU3,MAGAZ LUIZA ON,MAGAZ LUIZA ON NM,MAGAZLUIZAONNM
MILS3,MILLS ON,MILLS ON NM,MILLSONNM
MMXM3,MMX MINER ON,MMX MINER ON NM,MMXMINERONNM
ENEV3,ENEVA ON NM,ENEVA ON NM,ENEVAONNM
MRFG3,MARFRIG ON,MARFRIG ON NM,MARFRIGONNM
MRVE3,MRV ON,MRV ON NM,MRVONNM
MTIG4,METAL IGUACU PN,METAL IGUACUPN,METALIGUACUPN
MULT3,MULTIPLAN ON,MULTIPLAN ON N2,MULTIPLANONN2
MYPK3,IOCHP-MAXION ON,IOCHP-MAXIONON NM,IOCHP-MAXIONONNM
ODPV3,ODONTOPREV ON,ODONTOPREV ON NM,ODONTOPREVONNM
OSXB3,OSX BRASIL ON,OSX BRASIL ON NM,OSXBRASILONNM
PDGR3,PDG REALT ON,PDG REALT ON NM,PDGREALTONNM
PETR3,PETROBRAS ON,PETROBRAS ON N2,PETROBRASONN2
PETR4,PETROBRAS PN,PETROBRAS PN N2,PETROBRASPNN2
PETR4,PETROBRAS PN EJ N2,PETROBRAS PN EJN2,PETROBRASPNEJN2
PFRM3,PROFARMA ON,PROFARMA ON NM,PROFARMAONNM
PINE4,PINE PN,PINE PN N2,PINEPNN2
